docid,language,num_cells,num_code_cells,num_md_cells,len_md_text
NB_c73dffe3b70c250d005cac48ae5d4a5590bf16e9be22a50ec2a64a66cc0ab538,python,56,48,8,8
NB_c05a4b8296cc45f4d970eafef809b33a6bd04ae963b5d5f14eb9127a7b800318,python,1,1,0,0
NB_ada5e73198ba2231c550ecd15d95cf3ce0a69345879a6fb0e38bee91d57cff9f,python,8,8,0,0
NB_5d0b8a77b4c2d1d7b8fd23683ca7180ad834fc72f3f4d9574aabf06970bfec9a,python,27,27,0,0
NB_b62c19dfc691f145a11a4c7f186f6062705a08f5116fd070108e1ae39579697e,python,153,144,9,9
NB_2585a66dad3475113102cf055bd1d0797801e6bcd7a0b8d5089acc5e05a503e7,python,15,10,5,38
NB_3fbbc50b8f7fc8bc3ddb575428721c2dd85bfcc82317d9186dea22b0d5cd2a0b,others,51,29,22,25
NB_fbe23591c2c682a540aab85896f7a2df773c61cc45b806a4396875c3dd60dffa,python,72,42,30,274
NB_9969d348ec2dd9e82dfaacdc1e60a3c5c96ee5f73d445c3ed5f4987a88c994c8,python,3,3,0,0
NB_918051d6a694c8390f5ac9c4c83df9723c115a8668631163c596079d81101a52,python,11,11,0,0
NB_84dd41185fd49da0e26bbe278b2d707a5677cbd9ee2956cd295c340fe3e8848a,python,36,15,21,347
NB_fb90a463025a98ad50b83d3c2101aad744655db3197bbd36bd07fdcd6bff0018,python,6,4,2,2
NB_33980f3ee1790b7cf470af9480659d78a15967869623812208396bfdf2f9d868,python,47,21,26,47
NB_14ccfdfa6469b2c8f96f53fe28e2e54c050199e83f1029a8b1affb6013b22ef3,python,12,9,3,3
NB_514b90b77a7637d493ff342b5924cc5e27e339c412e1944d8d1dcff10e4ce5e7,python,20,11,9,30
NB_cbc08702bc994a7f751659714c0d319c8dea96c305ac3a072d09ff0b48a82530,python,4,2,2,24
NB_f59c7c79e14b09cd879400d276822bc104e97f4ce1b02a2f444fb0b5fa5d6185,python,5,2,3,24
NB_7373cea2ff5cdf364d857dee0ab3fc6010797f298a6928a8d87ccfff3d47a20a,python,51,34,17,25
NB_4031df746a545c5fffb3ca3357d5993ab8e6a0f45e08470776eaf1e36bccf6b0,python,55,23,32,272
NB_66fd7e512d3b08afbe7c249cfab9681021e1e5819bad7865f1ca85da935af5d9,python,29,10,19,54
NB_7df73e59c77a9fb2bd5cb8c5caeb0627d6def21ad5625389692e3c30b8a542dc,python,15,6,9,253
NB_99bb82d55df3aef5cb9f59fc33708ed097a319a8e873b547be718caefa103ecc,python,9,9,0,0
NB_9ba2ef545bb30dca970698d0ef8639a91a017da847dc21d73c6741f2a029efd8,python,34,34,0,0
NB_f8e08a13889927c9b6e391616dfa4d64f52df3038a770a2710d05b65133896bd,python,12,6,6,98
NB_8a44c8481d212be7770993bff6a542360c3107f6ffbaf422197225d26285cad6,python,10,10,0,0
NB_454f0e5e6ac54f479fb722915ac52830cdf5a882a50013fd7ecc6d990135e434,python,8,5,3,19
NB_ec276258f210fed21fdc2ba7062072ab09f6a6186716084eb4bcb3399a9aaa24,python,11,6,5,5
NB_e85d164adecd2d0a735ecd1ca387f4aa24bdeacfe018436c0ceb2a2bbf53bbfa,python,33,33,0,0
NB_064b7d8076c1fb8818ceaf72d23d3a78f16c75ced8748ff2fd562d8bdd0dd26d,python,20,9,11,14
NB_d9e87205ff860efbaea73280bab81151f65eff6a63b2bc82d6c91dc03c9dcf48,python,52,18,34,82
NB_71a7e810f5eea2dc1fc118fa1765085ee94bc0e10f251c45762b72453240badd,python,2,1,1,22
NB_44a5c493e5be480b4f6e9f94189c6f10e7a384b8c194d09e69667e6fade6b640,python,2,2,0,0
NB_2d30035d88426b54a9c3c5d9ec98c138b4e64c26e68029035010f6b954c11fe6,python,6,5,1,1
NB_111b867c0a5019557693d6f4413766e3c00be7bf251ed261a8f64093efac01fa,python,53,21,32,542
NB_d534e50ea84b571d97dc643a8ab8671a3a8397b8d4ab1dcb46c11730b4c76813,python,20,18,2,7
NB_ec883a912e2a7d1ef597dc245ba7ea2f39e49b21d8c039b087481875e729c9c4,python,121,98,23,26
NB_43183513fc34bc00d010e0254b8030f47f2aab8e074c097c77b67d17e81a1d67,python,12,4,8,67
